"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"07/23/2021 00:00:38","07/23/2021 00:00:38","ZergPool","VerusHash","BTC","32301.1","0.0576","0.0654","0","0.067","12","1.082","0"
"07/23/2021 00:01:43","07/23/2021 00:01:43","ZergPool","VerusHash","BTC","32304.02","0.0575","0.0654","0","0.067","12","1.077","0"
"07/23/2021 00:02:47","07/23/2021 00:02:47","ZergPool","VerusHash","BTC","32304.02","0.0573","0.0652","0","0.067","12","1.075","0"
"07/23/2021 00:03:52","07/23/2021 00:03:52","ZergPool","VerusHash","BTC","32302.28","0.0577","0.0655","0","0.067","12","1.081","0"
"07/23/2021 00:04:57","07/23/2021 00:04:57","ZergPool","VerusHash","BTC","32302.28","0.0571","0.0649","0","0.067","12","1.072","0"
"07/23/2021 00:06:01","07/23/2021 00:06:01","ZergPool","VerusHash","BTC","32342.96","0.0572","0.065","0","0.067","12","1.076","0"
"07/23/2021 00:07:06","07/23/2021 00:07:06","ZergPool","VerusHash","BTC","32388.52","0.0574","0.0652","0","0.067","12","1.083","0"
"07/23/2021 00:08:11","07/23/2021 00:08:11","ZergPool","VerusHash","BTC","32398.94","0.0571","0.0649","0","0.067","12","1.08","0"
"07/23/2021 00:09:16","07/23/2021 00:09:16","ZergPool","VerusHash","BTC","32365","0.0572","0.065","0","0.067","12","1.084","0"
"07/23/2021 00:10:21","07/23/2021 00:10:21","ZergPool","VerusHash","BTC","32313.24","0.0567","0.0645","0","0.067","12","1.076","0"
"07/23/2021 00:11:25","07/23/2021 00:11:25","ZergPool","VerusHash","BTC","32303.78","0.0569","0.0647","0","0.067","12","1.081","0"
"07/23/2021 00:12:30","07/23/2021 00:12:30","ZergPool","VerusHash","BTC","32303.78","0.0571","0.0649","0","0.067","12","1.085","0"
"07/23/2021 00:13:35","07/23/2021 00:13:35","ZergPool","VerusHash","BTC","32267.7","0.0569","0.0646","0","0.067","12","1.083","0"
"07/23/2021 00:14:40","07/23/2021 00:14:40","ZergPool","VerusHash","BTC","32264","0.0561","0.0638","0","0.066","12","1.07","0"
"07/23/2021 00:15:45","07/23/2021 00:15:45","ZergPool","VerusHash","BTC","32229.36","0.0569","0.0647","0","0.068","12","1.087","0"
"07/23/2021 00:16:49","07/23/2021 00:16:49","ZergPool","VerusHash","BTC","32236.92","0.056","0.0636","0","0.066","12","1.07","0"
"07/23/2021 00:17:54","07/23/2021 00:17:54","ZergPool","VerusHash","BTC","32209.7","0.0573","0.0651","0","0.067","12","1.085","0"
"07/23/2021 00:18:58","07/23/2021 00:18:58","ZergPool","VerusHash","BTC","32209.7","0.057","0.0647","0","0.066","12","1.069","0"
"07/23/2021 00:20:03","07/23/2021 00:20:03","ZergPool","VerusHash","BTC","32209.7","0.0578","0.0657","0","0.067","12","1.077","0"
"07/23/2021 00:21:08","07/23/2021 00:21:08","ZergPool","VerusHash","BTC","32272.94","0.0583","0.0663","0","0.067","12","1.079","0"
"07/23/2021 00:22:13","07/23/2021 00:22:13","ZergPool","VerusHash","BTC","32309","0.0588","0.0668","0","0.067","12","1.082","0"
"07/23/2021 00:23:18","07/23/2021 00:23:18","ZergPool","VerusHash","BTC","32309","0.0591","0.0672","0","0.067","12","1.082","0"
"07/23/2021 00:24:22","07/23/2021 00:24:22","ZergPool","VerusHash","BTC","32316.8","0.0593","0.0674","0","0.067","12","1.079","0"
"07/23/2021 00:25:27","07/23/2021 00:25:27","ZergPool","VerusHash","BTC","32316.8","0.0598","0.0679","0","0.067","12","1.08","0"
"07/23/2021 00:26:31","07/23/2021 00:26:31","ZergPool","VerusHash","BTC","32343.68","0.0599","0.0681","0","0.067","12","1.074","0"
"07/23/2021 00:27:36","07/23/2021 00:27:36","ZergPool","VerusHash","BTC","32342.2","0.0608","0.069","0","0.067","12","1.081","0"
"07/23/2021 00:28:41","07/23/2021 00:28:41","ZergPool","VerusHash","BTC","32342.2","0.0613","0.0696","0","0.067","12","1.082","0"
"07/23/2021 00:29:46","07/23/2021 00:29:46","ZergPool","VerusHash","BTC","32345.37","0.061","0.0693","0","0.066","12","1.072","0"
"07/23/2021 00:30:50","07/23/2021 00:30:50","ZergPool","VerusHash","BTC","32304.98","0.062","0.0704","0","0.067","12","1.079","0"
"07/23/2021 00:31:54","07/23/2021 00:31:54","ZergPool","VerusHash","BTC","32294.58","0.0619","0.0703","0","0.066","12","1.069","0"
"07/23/2021 00:32:59","07/23/2021 00:32:59","ZergPool","VerusHash","BTC","32294.98","0.063","0.0716","0","0.067","12","1.081","0"
"07/23/2021 00:34:04","07/23/2021 00:34:04","ZergPool","VerusHash","BTC","32304.76","0.0631","0.0717","0","0.067","12","1.076","0"
"07/23/2021 00:35:08","07/23/2021 00:35:08","ZergPool","VerusHash","BTC","32304.76","0.0632","0.0718","0","0.066","12","1.073","0"
"07/23/2021 00:36:13","07/23/2021 00:36:13","ZergPool","VerusHash","BTC","32244.02","0.0636","0.0722","0","0.066","12","1.074","0"
"07/23/2021 00:37:17","07/23/2021 00:37:17","ZergPool","VerusHash","BTC","32239.5","0.0631","0.0717","0","0.067","12","1.079","0"
"07/23/2021 00:38:22","07/23/2021 00:38:22","ZergPool","VerusHash","BTC","32266.04","0.0622","0.0707","0","0.067","12","1.077","0"
"07/23/2021 00:39:27","07/23/2021 00:39:27","ZergPool","VerusHash","BTC","32269.22","0.0617","0.0702","0","0.067","12","1.086","0"
"07/23/2021 00:40:32","07/23/2021 00:40:32","ZergPool","VerusHash","BTC","32269.22","0.0603","0.0685","0","0.067","12","1.076","0"
"07/23/2021 00:41:37","07/23/2021 00:41:37","ZergPool","VerusHash","BTC","32260.56","0.0598","0.0679","0","0.067","12","1.082","0"
"07/23/2021 00:42:41","07/23/2021 00:42:41","ZergPool","VerusHash","BTC","32267.14","0.0588","0.0668","0","0.067","12","1.076","0"
"07/23/2021 00:43:46","07/23/2021 00:43:46","ZergPool","VerusHash","BTC","32330.56","0.0583","0.0662","0","0.067","12","1.078","0"
"07/23/2021 00:44:50","07/23/2021 00:44:50","ZergPool","VerusHash","BTC","32287.92","0.0574","0.0653","0","0.066","12","1.072","0"
"07/23/2021 00:45:54","07/23/2021 00:45:54","ZergPool","VerusHash","BTC","32278.12","0.0568","0.0646","0","0.066","12","1.07","0"
"07/23/2021 00:46:59","07/23/2021 00:46:59","ZergPool","VerusHash","BTC","32321.5","0.0564","0.0641","0","0.066","12","1.069","0"
"07/23/2021 00:48:03","07/23/2021 00:48:03","ZergPool","VerusHash","BTC","32306.66","0.0559","0.0636","0","0.066","12","1.071","0"
"07/23/2021 00:49:07","07/23/2021 00:49:07","ZergPool","VerusHash","BTC","32324.16","0.0552","0.0628","0","0.066","12","1.067","0"
"07/23/2021 00:50:11","07/23/2021 00:50:11","ZergPool","VerusHash","BTC","32325.98","0.055","0.0626","0","0.066","12","1.074","0"
"07/23/2021 00:51:16","07/23/2021 00:51:16","ZergPool","VerusHash","BTC","32331.42","0.0545","0.0619","0","0.066","12","1.073","0"
"07/23/2021 00:52:20","07/23/2021 00:52:20","ZergPool","VerusHash","BTC","32314.84","0.0542","0.0616","0","0.066","12","1.076","0"
"07/23/2021 00:53:25","07/23/2021 00:53:25","ZergPool","VerusHash","BTC","32326.32","0.0541","0.0614","0","0.067","12","1.082","0"
"07/23/2021 00:54:30","07/23/2021 00:54:30","ZergPool","VerusHash","BTC","32326.32","0.0533","0.0606","0","0.066","12","1.074","0"
"07/23/2021 00:55:34","07/23/2021 00:55:34","ZergPool","VerusHash","BTC","32347.5","0.0526","0.0598","0","0.066","12","1.067","0"
"07/23/2021 00:56:38","07/23/2021 00:56:38","ZergPool","VerusHash","BTC","32378.08","0.0525","0.0597","0","0.066","12","1.07","0"
"07/23/2021 00:57:42","07/23/2021 00:57:42","ZergPool","VerusHash","BTC","32378.08","0.0524","0.0596","0","0.066","12","1.073","0"
"07/23/2021 00:58:47","07/23/2021 00:58:47","ZergPool","VerusHash","BTC","32378.08","0.053","0.0602","0","0.067","12","1.086","0"
"07/23/2021 00:59:52","07/23/2021 00:59:52","ZergPool","VerusHash","BTC","32350.64","0.0525","0.0597","0","0.067","12","1.078","0"
"07/23/2021 01:00:56","07/23/2021 01:00:56","ZergPool","VerusHash","BTC","32355.48","0.0524","0.0595","0","0.066","12","1.074","0"
"07/23/2021 01:02:01","07/23/2021 01:02:01","ZergPool","VerusHash","BTC","32355.48","0.0525","0.0596","0","0.066","12","1.075","0"
"07/23/2021 01:03:05","07/23/2021 01:03:05","ZergPool","VerusHash","BTC","32355.48","0.0524","0.0596","0","0.066","12","1.073","0"
"07/23/2021 01:04:10","07/23/2021 01:04:10","ZergPool","VerusHash","BTC","32375.54","0.0529","0.0601","0","0.067","12","1.081","0"
"07/23/2021 01:05:14","07/23/2021 01:05:14","ZergPool","VerusHash","BTC","32367.32","0.0521","0.0592","0","0.066","12","1.069","0"
"07/23/2021 01:06:19","07/23/2021 01:06:19","ZergPool","VerusHash","BTC","32344.4","0.0524","0.0596","0","0.066","12","1.079","0"
